evaluation,feasible,selected,search_score_mm,combined_rmse_mm,tip_rmse_mm,wrist_rmse_mm,bottleneck_rmse_mm,record_type,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
795068,True,False,50.906417072883286,50.55462258602147,50.54198003848949,50.56726197273364,50.56726197273364,balanced_tested_sample,-1.858581926537051,0.7088374645265288,-0.00118855332025821,-0.3896158759916228,0.3134636352128962,0.6825841408817913,-0.1377609909389413,0.2212280928148674,0.05757432195237494,-0.082741194793924
795301,True,False,50.96362113721104,50.606739264540835,50.62823932138947,50.58523006960184,50.62823932138947,balanced_tested_sample,-1.8672664651421187,0.7109183098733913,0.0011542507784716122,-0.39325640912223375,0.32007253749063025,0.6889104899143479,-0.1405984156028849,0.2263811604020582,0.05914992849185695,-0.08656647859965463
795535,True,False,50.69319046549578,50.345235952384016,50.30522309023525,50.385217038771415,50.385217038771415,balanced_tested_sample,-1.866635199845991,0.7110570954117383,0.005765180220701633,-0.39979717666644354,0.3257462667146793,0.6942202669191101,-0.14416079167746781,0.23149402945598488,0.06343894396141661,-0.08970001347078907
795788,True,False,60.28011892158538,55.30261557474368,60.62515351562258,49.41001254829794,60.62515351562258,balanced_tested_sample,-1.8641643242070727,0.7049586703944697,-0.004009902678811939,-0.4063163781225602,0.3196437846036182,0.6716676610732066,-0.1406752596860854,0.2529643061672513,0.054597065720567,-0.08734995269459783
796039,True,False,65.34587662311662,59.87874400705731,65.51508406299764,53.65353416079648,65.51508406299764,balanced_tested_sample,-1.818068989947091,0.7391394078939368,-0.08290646355360355,-0.36982230831645735,0.2657463199875116,0.6406940112060832,-0.17602480396542816,0.17848836419859718,0.018280055282265287,-0.08188150609479043
796296,True,False,299.0637340413266,217.48378729677034,301.9477523839245,58.53161798711788,301.9477523839245,balanced_tested_sample,-1.7096893319196356,0.9624192144467042,0.04278903540296363,-0.1350589378133047,0.6493225935184156,0.5625012699249362,-0.1995681894317838,0.048380423325498696,0.17520086179785074,0.1318925301117575
796547,True,False,53.763616333433106,53.38686731096653,53.69983127886279,53.07205783818038,53.69983127886279,balanced_tested_sample,-1.6333250331879348,0.8107439293618468,-0.11574408721950666,-0.143570245025468,0.22301948729357862,0.5615246821627602,-0.12003598485342001,0.25521967533006407,0.02127699102250096,-0.027694581916718097
796802,True,False,54.15973175596339,53.34200207275454,54.35748855381511,52.30680460878258,54.35748855381511,balanced_tested_sample,-1.750057414669635,0.7842110298426558,-0.18024575545617813,-0.17199811747039442,0.25402432897821786,0.4882992049852496,-0.19456704905737418,0.17749995234928626,0.09845198991727569,-0.0019280554062837208
797059,True,False,57.07131508493922,56.45837348237927,57.22689493660293,55.67924540137613,57.22689493660293,balanced_tested_sample,-1.596163470037209,0.6720226617745911,-0.24722515024835584,-0.14592984781438256,0.2677395341849964,0.3358499100477879,-0.16515720721523802,0.06883272614049059,-0.012515877458056813,0.00648358316458577
797309,True,False,179.29592640158288,138.99597884544414,180.89362597903656,76.92373073741769,180.89362597903656,balanced_tested_sample,-1.3972319747956754,0.809495200672775,-0.17161077445580813,-0.009783681562960724,0.10909983321197181,0.15117982947333292,-0.26926238753259896,0.0263600321389133,0.0920250999896957,0.08147059752967321
797559,True,False,74.54053288438335,73.99527470722994,73.29741452111458,74.68661448021825,74.68661448021825,balanced_tested_sample,-0.7469258455406758,0.27444066150220925,-0.5913233006319291,0.637154548091121,-1.2517343272307708,-0.3168441013534084,-0.10049090313170737,-0.7052391656601582,-0.2182825966545826,0.3827055808645186
797819,True,False,81.99689046740315,78.86177520758211,75.01558545053396,82.52891079673876,82.52891079673876,balanced_tested_sample,-0.6960024106716292,0.2825632077816314,-0.5755951226693247,0.6567882638933683,-1.2277669731933762,-0.20240094816627313,-0.026173226095167305,-0.6138191878123493,-0.21130652165380875,0.380591353857456
