phase_index,target_tip_x,target_tip_y,target_tip_z,generated_tip_x,generated_tip_y,generated_tip_z,target_wrist_x,target_wrist_y,target_wrist_z,generated_wrist_x,generated_wrist_y,generated_wrist_z
62,-491.84321682092093,106.460088071519,-494.9326033478352,-438.79741165897286,88.08837672066187,-476.4165601869016,-198.88055186507304,6.771755944668547,-142.22486441220704,-191.85825959506582,24.774422455502258,-105.93114554615465
63,-468.4537139402056,90.9639161840392,-521.945419217375,-413.4644279520379,67.53639412852915,-496.96592465818026,-199.87052393116033,9.693855192756814,-144.68616355197312,-191.72992522818174,24.719829359249964,-110.26808042933467
64,-444.0247336482921,71.48978835474887,-545.0622948113006,-388.155986823896,44.0895064868824,-514.2630368992396,-201.66210877805597,13.765796413555252,-144.69966987643974,-191.89448882020534,24.783460570623,-114.31022443201101
65,-419.44266601742004,47.19507605298623,-561.8964095020369,-363.4885480500695,17.633097207534448,-527.8252581078299,-204.2684815433713,19.246222239323842,-141.37555950708554,-192.52431054976793,25.09395112698048,-117.95525580342434
66,-396.6729692280759,18.281298695024375,-569.2962931941397,-340.39471701414533,-11.973197995191118,-536.9314530449223,-207.44262400387157,26.136253118567605,-134.00009177500897,-193.9600298558927,25.958136777579778,-120.97937611984784
67,-378.110815222642,-12.934916642260845,-565.6980816124732,-320.7616362304529,-44.95244839100916,-539.9842911813662,-210.58540358870607,33.85635379947931,-123.00654976191925,-197.0697044436211,28.28859851893097,-122.76808663804547
68,-364.6548303434451,-43.571734228454716,-552.7487904811617,-310.43050908919975,-79.11310578013058,-532.9727951130737,-213.1325765612913,41.616038063478946,-109.84449641459827,-204.8140997320587,35.77046743722939,-120.91900503853273
69,-355.4946076961787,-72.19692531691929,-533.4374678729179,-323.42749879465856,-86.49049468231286,-512.2082237092461,-214.87864792849814,48.97503823905016,-95.79479909722812,-220.08867121948205,50.81452969428134,-106.16592158284155
70,-349.49260338759285,-98.55748326893415,-509.97708920599246,-333.7679716900861,-109.61552779867941,-488.3825191138952,-215.83922954405608,55.81807758076608,-81.52056289141001,-224.62806192230533,48.00012084780647,-90.9652719244634
71,-345.75753726470964,-122.78987125318919,-483.6964477564581,-343.12645233213846,-136.66221707598675,-465.0445880917135,-216.08611247278475,62.15182129812505,-67.31723918132198,-225.75235146205785,43.739124832382146,-79.68943451637423
72,-343.64717804338886,-145.11318255414375,-455.40015253138694,-352.8349901474181,-162.5789682343838,-440.1613991803308,-215.69747312316204,68.0170796297948,-53.3135565663164,-226.28374367455208,40.31303310507231,-69.05371819652578
73,-342.70044572004286,-165.74618204167,-425.60027166072774,-362.7765740864644,-186.5327157374943,-413.3393816848477,-214.74821968194,73.46187234877047,-39.56082863786935,-226.59790450073933,37.88921703461942,-58.47478318179591
74,-342.61298367570015,-184.8254506754124,-394.597470054421,-372.7111450652229,-208.24799601565638,-384.6551836979621,-213.2880064417472,78.51755659245927,-26.084954319449565,-226.79149497058285,36.4129347594005,-47.76959177576165
75,-343.1523041469678,-202.46082674018265,-362.60339032738517,-382.41315057197085,-227.77185898329702,-354.3913810366107,-211.3609260189846,83.21089692549162,-12.89739075402965,-226.87346544866568,35.74065067397021,-36.8954320378925
