call,round,region_id,evaluation_start,evaluation_end,evaluation_cost,before_score,after_score,before_tip_mm,before_wrist_mm,before_combined_mm,before_p64_mm,after_tip_mm,after_wrist_mm,after_combined_mm,after_p64_mm,gain_mm,accepted,cumulative_accepted_gain_mm,status
21,25,288,1651459,1651802,343,55.163175616930445,54.39154248678199,52.62080469175591,55.38315206127543,54.019638182101325,55.415299215702234,54.262155015542355,53.78301647806144,54.023116942704156,54.644241986903005,0.7716331301484587,True,81.58215894812089,completed
22,26,301,1733816,1733979,163,53.77162924604217,53.685809698403716,52.92762979849953,53.72877255434541,53.329705588366025,54.00126796557306,52.8765921942148,53.62980732844671,53.25453143235613,53.91517389316523,0.0858195476384509,True,81.66797849575934,completed
23,27,312,1839322,1843130,3808,54.717356923637745,52.47507407730502,54.64750458952209,53.82821090182841,54.2394047107523,54.92340561271416,52.042844710592135,52.20332465957149,52.123146447060506,52.694594946103734,2.242282846332728,True,83.91026134209207,completed
24,28,325,1926122,1927771,1649,54.01951274622139,52.13601244803936,53.19685202251008,53.99641876807594,53.59812638927903,54.271846266924136,51.74569166377744,51.85444178939388,51.80009526560914,52.36594865373747,1.8835002981820281,True,85.7937616402741,completed
25,29,338,2030458,2034766,4308,55.748845337834204,52.70116961918751,55.75998528400319,54.79545484601678,55.279823763531105,56.00725055382002,52.557526477933486,52.11878380885162,52.33861488037533,52.93701746207154,3.047675718646694,True,88.84143735892079,completed
26,30,349,2117214,2118661,1447,54.72373121169484,52.017505363789326,54.608787780761155,54.057443167119274,54.33381481476586,54.96854754761395,51.54073653374961,51.79098589481778,51.66601272789785,52.238076793043675,2.7062258479055146,True,91.5476632068263,completed
27,31,362,2222494,2224282,1788,56.06658196212084,53.046817753043854,55.52622980420712,55.91183689571294,55.719366926242195,56.3468480305968,52.97078946457108,52.378157922221774,52.67530713638563,53.30004049240821,3.019764209076989,True,94.5674274159033,completed
28,32,374,2296565,2299571,3006,54.00232856349513,52.0935734007412,53.024074033673116,54.041855997734956,53.53538375134883,54.261350789313056,51.80888399700798,51.72611726798845,51.76751717359605,52.33226473650722,1.908755162753934,True,96.47618257865723,completed
29,33,387,2404785,2404948,163,56.477555951784225,56.413123684235146,56.02945688671856,56.28479585132157,56.15727149286012,56.77784759091265,55.767649029429755,56.341615885101845,56.05536708832624,56.71100597877524,0.06443226754907982,True,96.54061484620631,completed
30,34,399,2480859,2485104,4245,55.73490936265024,52.556601413122166,54.64565689231915,55.78941182031981,55.22049568978129,55.99512634982557,52.29575397574549,52.14616271144982,52.221011908142394,52.79301388375984,3.178307949528076,True,99.71892279573439,completed
