evaluation,PC1,PC2
480018,-1.09314326077457,0.8437992617658353
480073,-1.1208203091515863,0.8485374918839549
480076,-1.1211339234324964,0.8468032989840436
480078,-1.1197875516537645,0.8478855535980859
480091,-1.1216120688927598,0.8472466512988346
480130,-1.1671020453408145,0.8447624407934874
480133,-1.1674156596217247,0.8430282478935761
480135,-1.1660692878429932,0.8441105025076188
480193,-1.172933508285184,0.8442298922890935
480195,-1.171587136506452,0.8453121469031356
480260,-1.1716436032405992,0.8453473942014846
480325,-1.1716990606859927,0.8453820108789674
480379,-1.1745284064354737,0.8461963656638463
480391,-1.1738535642962848,0.8498276370685011
480436,-1.175226438915879,0.8581948883683617
480437,-1.1749592095395869,0.8554047351675342
480443,-1.176254679114651,0.8559084106286414
480465,-1.1758030352985398,0.8591357481574471
480470,-1.1738706698108137,0.8604871515691517
480494,-1.1804463428942666,0.8694659372010549
480498,-1.1806543853728468,0.868116233556567
480500,-1.1811038320173104,0.8679240472681393
480556,-1.181670383277077,0.8686008033152078
480616,-1.182176513295256,0.8681377234681301
480641,-1.1827031581585479,0.8690794230325015
480771,-1.182724244841754,0.8690600857458967
480800,-1.1849543977371193,0.8646942287273454
480801,-1.184687168360827,0.8619040755265176
480825,-1.18658967509361,0.8611975631832082
480858,-1.189582518318269,0.8622196452837042
480863,-1.1885497608204472,0.8615677069978351
480871,-1.188715175740945,0.8624231611529839
480876,-1.1903742780594426,0.8609288046985836
480882,-1.1910255260996623,0.8616834022944617
480936,-1.1921892926202804,0.8613968208130072
481001,-1.1922462325271865,0.861391342639526
481066,-1.192307624581832,0.8613896536276028
481119,-1.1912808785469873,0.8628217776272323
481122,-1.194366218847954,0.8669347924193981
481124,-1.1929399808654848,0.8613274211728319
481130,-1.1935912289057042,0.8620820187687102
481183,-1.1947182672842451,0.8631442600825764
481248,-1.1947679436849177,0.8631451137432632
481313,-1.1948049881736058,0.8631264168794769
481378,-1.1948523015113448,0.8631037831597775
481443,-1.194913804034364,0.8631079082362766
481508,-1.1949668924493861,0.8631279368396703
481562,-1.196072588879246,0.8622089099088692
481563,-1.1992862384176035,0.8649080032971426
481567,-1.1977316911977436,0.8607145534544688
481632,-1.1977986139564851,0.860686877025587
481697,-1.1978591375255803,0.860657982516683
481735,-1.197859338450552,0.8606600803827978
481746,-1.2122892153395137,0.8552955526242575
481848,-1.2102084406745066,0.864286700892616
481850,-1.2472563501212865,0.875172856020415
481852,-1.321352169014846,0.896945166276013
555178,-1.3267962847746555,0.7818949630793484
555180,-1.3245615502420565,0.7842755499482831
555238,-1.329129176544823,0.7883181666844787
555295,-1.3428508893688964,0.7931039423527436
555370,-1.346841428118053,0.7910425975220009
555371,-1.346758960134776,0.7912580532022547
555474,-1.3666362164198853,0.7976561998113381
555539,-1.366680970002766,0.7976858732260846
555661,-1.3804563507597079,0.8122715462111133
555670,-1.3809134848594997,0.8116084367474384
555688,-1.3810950263598727,0.8126827336271727
555744,-1.3901348224536174,0.8208298159657018
555747,-1.3919484365760002,0.8204916230938607
555778,-1.3898695403126602,0.8159467725636037
555791,-1.3884710388504893,0.8147928903904967
555804,-1.3890021977353362,0.8161502884328834
555840,-1.3969206406518104,0.8158865479157424
555841,-1.3955742688730786,0.8169688025297843
555902,-1.3986907674761857,0.8154982903005651
555920,-1.396209972972219,0.8190122527556164
555952,-1.3995820019467868,0.8074522235773988
555964,-1.3990656433136637,0.8078325711337008
555965,-1.398183500484616,0.8062983414042918
555983,-1.40102500972818,0.8069159805881563
556015,-1.4022643894991151,0.8072520353782482
556016,-1.4009180177203833,0.8083342899922903
556042,-1.4033937829995984,0.8084499852889168
556107,-1.4034410864310314,0.80847807364117
556139,-1.4083872867297151,0.81495596598118
