generation_index,round,region_id,generation,evaluation_start,evaluation_end,population,valid_count,valid_rate,generation_best,sigma_before,sigma_after,mean_displacement,diagonal_condition_proxy,boundary_contact_fraction,path_c_norm,path_sigma_norm,restart
5220,46,556,0,3605667,3606190,192,181,0.9427083333333334,63.908835593759115,0.04,0.03241527960520205,0.010432311236793829,103311102.21712531,0.4727272727272727,0.866550712795631,1.946036086058185,False
5221,46,556,1,3606191,3606713,192,190,0.9895833333333334,62.48488886232086,0.03241527960520205,0.02755273879730566,0.007038164155275535,109479565.05519392,0.5454545454545454,1.8008248237461937,3.1645637528772004,False
5222,46,556,2,3606714,3607177,192,184,0.9583333333333334,61.71900364934194,0.02755273879730566,0.022452463952514785,0.008045360052886653,121702046.47563253,0.4909090909090909,1.432497292684269,2.087698447032328,False
5223,46,556,3,3607178,3607606,192,188,0.9791666666666666,61.85936299358437,0.022452463952514785,0.019633935435235034,0.005522184405664722,130026636.10026747,0.5454545454545454,2.71266338673629,3.8894019501675072,False
5224,46,556,4,3607607,3608041,192,187,0.9739583333333334,60.79975039301389,0.019633935435235034,0.017154387411830573,0.00710576390851872,142832735.12201455,0.5454545454545454,3.2419070527683465,3.867324914871628,False
5225,46,556,5,3608042,3608418,192,184,0.9583333333333334,60.1060600697115,0.017154387411830573,0.014152589797792927,0.005768504094043908,154515890.0876459,0.509090909090909,2.638338911652947,2.4029231781460187,False
5226,46,556,6,3608419,3608803,192,186,0.96875,61.90075000074061,0.014152589797792927,0.01138549642725837,0.003997588156280982,176843011.8370965,0.509090909090909,2.2332430043903897,1.759438520581261,False
5227,46,556,7,3608804,3609184,192,185,0.9635416666666666,61.76444272925497,0.01138549642725837,0.009517590688317638,0.003252647381031509,191359884.3901334,0.5818181818181818,3.1496540163520486,2.7388949664264057,False
5228,46,556,8,3609185,3609538,192,186,0.96875,61.32413996313154,0.009517590688317638,0.008284352596532542,0.0035266098236907,205704064.245213,0.6,4.021792060186602,3.7711193449729166,False
5229,46,556,9,3609539,3609874,192,184,0.9583333333333334,60.5328055877666,0.008284352596532542,0.007004917667004356,0.0025770788256645237,221670819.16120765,0.5272727272727272,4.091266427860476,3.0310684772593692,False
5230,46,557,0,3609875,3610492,192,185,0.9635416666666666,62.79607036270557,0.04,0.03126395060336143,0.006399406612836865,93950433.48461239,0.509090909090909,0.8302647542051406,1.0226156681957506,False
5231,46,557,1,3610493,3611033,192,184,0.9583333333333334,62.18785645309412,0.03126395060336143,0.02594725214760409,0.01312935767323516,95683687.3959141,0.509090909090909,1.5085258502446883,2.5550132648231743,False
5232,46,557,2,3611034,3611568,192,182,0.9479166666666666,61.432157005843564,0.02594725214760409,0.020991355940734258,0.009919588045085633,99460249.6258387,0.6181818181818182,1.455592560562194,1.9024893965550222,False
5233,46,557,3,3611569,3612048,192,181,0.9427083333333334,61.18067964292711,0.020991355940734258,0.017466835166209997,0.005150375309319608,109115618.42047514,0.6181818181818182,0.6877503021209644,2.6212283000067798,False
5234,46,557,4,3612049,3612516,192,185,0.9635416666666666,62.19859960153472,0.017466835166209997,0.013799571875116523,0.0038798266545701024,116001029.63518117,0.45454545454545453,0.8414685123721469,1.2970402339932106,False
5235,46,557,5,3612517,3612918,192,181,0.9427083333333334,61.31228675194505,0.013799571875116523,0.011545021714154901,0.004023276023107634,121624022.6085618,0.43636363636363634,1.6891769585916725,2.759713423205135,False
5236,46,557,6,3612919,3613290,192,182,0.9479166666666666,61.000131899315186,0.011545021714154901,0.009436325435151627,0.002931492386028922,141903158.3677965,0.5818181818181818,1.1374954068124554,2.1646558535716425,False
5237,46,557,7,3613291,3613660,192,184,0.9583333333333334,60.700607444781255,0.009436325435151627,0.007984771128915536,0.004325816226928515,159723191.08512425,0.5272727272727272,2.1652931986953114,3.0495947142124438,False
5238,46,557,8,3613661,3614046,192,183,0.953125,60.020930688984706,0.007984771128915536,0.006879485764621954,0.00264393112463931,171179252.4825315,0.4909090909090909,2.8752066401256786,3.5101868808376855,False
5239,46,557,9,3614047,3614393,192,184,0.9583333333333334,60.6359251098077,0.006879485764621954,0.006034050028983731,0.0022673441276758687,179590309.35125884,0.509090909090909,3.625342287592525,3.9663979384040084,False
5240,46,559,0,3614394,3614985,192,181,0.9427083333333334,62.444528335657644,0.04,0.03173808568848032,0.008203764466733304,100245606.08032168,0.5272727272727272,0.8178442739394115,1.4069473711431852,False
5241,46,559,1,3614986,3615548,192,181,0.9427083333333334,62.504501635095316,0.03173808568848032,0.025954140230372263,0.007237479407990689,103567111.35961565,0.5818181818181818,1.3259371397824797,2.177459067001724,False
5242,46,559,2,3615549,3616054,192,183,0.953125,61.598306679678934,0.025954140230372263,0.021216876046687105,0.010232982684422746,110792037.8660053,0.5636363636363636,1.327460972057418,2.1685736934607855,False
5243,46,559,3,3616055,3616529,192,183,0.953125,61.816573511381684,0.021216876046687105,0.01710090486124628,0.0061361363014775005,120910919.15614061,0.5272727272727272,1.4512531306251055,1.8077439962456159,False
5244,46,559,4,3616530,3616962,192,184,0.9583333333333334,61.2704216352694,0.01710090486124628,0.013728025057453415,0.004155580293486792,130189421.69450884,0.5272727272727272,1.3635125735339744,1.7049313883537718,False
5245,46,559,5,3616963,3617375,192,181,0.9427083333333334,61.866376869298826,0.013728025057453415,0.011177602272607428,0.0045594681663215075,145131677.62884358,0.509090909090909,1.143032880309236,2.066612195452355,False
5246,46,559,6,3617376,3617746,192,184,0.9583333333333334,61.00163103011842,0.011177602272607428,0.009057244665096182,0.0030568496442579724,168955519.63085425,0.4727272727272727,1.2688394229635545,1.9435471174856846,False
5247,46,559,7,3617747,3618127,192,180,0.9375,60.67244788489492,0.009057244665096182,0.007788184469905256,0.003894544934488369,184076356.12766734,0.5272727272727272,2.3578203304050613,3.4600132401523194,False
5248,46,559,8,3618128,3618494,192,182,0.9479166666666666,60.90541817242456,0.007788184469905256,0.006807391484974328,0.002805284397544913,196499075.43460593,0.509090909090909,3.2002185757149832,3.877710486654527,False
5249,46,559,9,3618495,3618847,192,182,0.9479166666666666,60.399595664271736,0.006807391484974328,0.006024176826728045,0.002381383676913515,209898256.2877183,0.509090909090909,4.035501646974407,4.193582783769933,False
5250,46,560,0,3618848,3619430,192,178,0.9270833333333334,61.877135282999205,0.04,0.033664204211245684,0.007853351989482572,95713328.00916646,0.5636363636363636,1.5054319564162204,2.911357200695392,False
5251,46,560,1,3619431,3620008,192,185,0.9635416666666666,61.69880843159441,0.033664204211245684,0.027347712687472187,0.008302783505281047,99485286.23248087,0.5818181818181818,1.4383343483784616,2.0085272314417653,False
5252,46,560,2,3620009,3620562,192,183,0.953125,61.30786122911627,0.027347712687472187,0.022718085594573927,0.0064858116336074636,101145945.64221153,0.5818181818181818,1.9642751973286305,2.5787195659434796,False
5253,46,560,3,3620563,3621056,192,184,0.9583333333333334,61.32245132540692,0.022718085594573927,0.01931502591033218,0.0052443569757481085,101727846.39435795,0.4909090909090909,2.5321087481693887,3.1709465092981715,False
5254,46,560,4,3621057,3621539,192,179,0.9322916666666666,60.25580955797763,0.01931502591033218,0.015470661470616083,0.004736511568375063,109717350.39204842,0.5272727272727272,2.058987774514624,1.6475842142539716,False
5255,46,560,5,3621540,3621949,192,185,0.9635416666666666,61.068358463796365,0.015470661470616083,0.012488352404612199,0.0035751251404163233,118189837.1448415,0.4727272727272727,1.6826073499660923,1.8464666410404678,False
5256,46,560,6,3621950,3622330,192,183,0.953125,60.9689852138989,0.012488352404612199,0.010279670627041541,0.004448572718233788,129577690.47563115,0.509090909090909,2.102856476014024,2.3449135853143037,False
5257,46,560,7,3622331,3622730,192,184,0.9583333333333334,61.0535772415205,0.010279670627041541,0.00883667655639291,0.003443246693074649,137279418.7823927,0.509090909090909,3.113935669026066,3.4523481786779597,False
5258,46,560,8,3622731,3623120,192,179,0.9322916666666666,60.479114387705074,0.00883667655639291,0.007529426728812245,0.0027676288895252853,142716064.05098635,0.5636363636363636,3.2873302552133863,3.226765281829975,False
5259,46,560,9,3623121,3623483,192,186,0.96875,60.15201219981347,0.007529426728812245,0.006266565709181295,0.00293329359599565,146016136.83343524,0.5636363636363636,3.043778785408652,2.6267524768471597,False
5260,46,553,0,3623484,3624111,192,156,0.8125,57.286310481998214,0.011169584612866651,0.011702215176249945,0.01698898953472018,89803404.1276743,0.5454545454545454,3.650517786882845,8.504042046844068,False
5261,46,553,1,3624112,3624757,192,149,0.7760416666666666,57.31674777184946,0.011702215176249945,0.011278974186490768,0.0034714388081002385,88380670.77455747,0.6181818181818182,3.917793895124474,6.373947188406532,False
5262,46,553,2,3624758,3625453,192,151,0.7864583333333334,57.195072421673544,0.011278974186490768,0.010058954950120842,0.0023635777621840463,88577570.73367578,0.5636363636363636,3.835466875699467,4.39150108806794,False
5263,46,553,3,3625454,3626108,192,161,0.8385416666666666,57.4285525722039,0.010058954950120842,0.0084155916043159,0.0013728414897425103,86691116.70215769,0.5454545454545454,3.5504730373036257,2.759869069980003,False
5264,46,553,4,3626109,3626727,192,161,0.8385416666666666,57.15420585280961,0.0084155916043159,0.006813209833811874,0.0018345236396174087,84799339.14744367,0.43636363636363634,3.2749967028458773,1.9211855713718218,False
5265,46,553,5,3626728,3627349,192,172,0.8958333333333334,56.9355124984874,0.006813209833811874,0.005406884183530244,0.0016271240811217575,84812031.6628603,0.509090909090909,2.9871388669094943,1.4113314019834118,False
5266,46,553,6,3627350,3627971,192,170,0.8854166666666666,56.89176982316667,0.005406884183530244,0.004307333419200464,0.0012991709245207166,82995449.74276102,0.5818181818181818,2.845374887075049,1.5092900519167662,False
5267,46,553,7,3627972,3628529,192,176,0.9166666666666666,57.13604934581629,0.004307333419200464,0.003386613791150009,0.0010325540569654482,81543796.0416742,0.5272727272727272,2.6144458759917057,1.173912404010111,False
5268,46,553,8,3628530,3629068,192,174,0.90625,56.99226993382498,0.003386613791150009,0.0027015994877473987,0.0008450828491597713,80218466.54821882,0.509090909090909,2.547068998551087,1.5442062448589742,False
5269,46,553,9,3629069,3629597,192,172,0.8958333333333334,56.90760670196615,0.0027015994877473987,0.002169558241122973,0.0009005939186077236,78858770.74625096,0.5454545454545454,2.388129359824785,1.71441936804866,False
5270,46,561,0,3629598,3630301,192,164,0.8541666666666666,59.966814911365894,0.02766623832568731,0.02316637849821123,0.005431943064817502,116898068.0392528,0.5272727272727272,1.9064484457106,2.781990202124156,False
5271,46,561,1,3630302,3631044,192,164,0.8541666666666666,59.76018458856556,0.02316637849821123,0.018687374956931426,0.0028143889016222314,114605304.71614331,0.5272727272727272,1.7958546320036415,1.8284690510400163,False
