round,evaluation_at_round_end,parent_region_id,child_left,child_right,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,parent_volume_log10
26,1733816,305,311,312,L3_C1c,0.4762844761056606,-2.6087076283773314,3558.0400156751075,6796,-6.504519762991812
26,1733816,307,313,314,theta18_deg,0.5411659578340575,94.93991494008691,3043.907658375727,181,-6.452969384819921
26,1733816,310,315,316,theta18_deg,0.6069354134092273,102.83224960910728,3550.1059643127755,5710,-6.120023730954847
26,1733816,295,317,318,theta18_deg,0.5398590304281338,94.78308365137605,2845.778028112861,249,-7.018040818646546
26,1733816,296,319,320,L5,0.42711889529366237,202.50853487047897,2414.9945792379676,4287,-7.2073692185242555
26,1733816,297,321,322,L12,0.23421664701084366,15.539749115487965,3472.1095697575565,159,-5.276335114094611
26,1733816,299,323,324,L13,0.3677186277171507,41.83011374997786,4427.597370437982,197,-3.681475631167845
27,1839322,314,325,326,L3_C1c,0.47513000770523695,-2.7356991524239334,3580.8491383627397,7102,-7.421424477311016
27,1839322,315,327,328,L3_C1c,0.4755418101971677,-2.690400878311557,3549.629089058161,4463,-6.336881252552346
27,1839322,316,329,330,L3_C1c,0.4763418450238589,-2.6023970473755185,3549.629089058161,4235,-6.525559813415654
27,1839322,318,331,332,L5,0.42711889529366237,202.50853487047897,2426.8556964495842,8134,-7.972564243814937
27,1839322,319,333,334,L11,0.2833004247428056,35.4970382268525,3403.7509289843692,145,-8.22690359770414
28,1926122,320,335,336,L11,0.2573891196305422,33.165020766748796,3403.7509289843692,157,-7.251009481808117
28,1926122,321,337,338,theta18_deg,0.5467917874961349,95.61501449953619,3058.5609404880825,146,-6.223381648852492
28,1926122,323,339,340,L3_C1c,0.47666508269375846,-2.5668409036865683,3189.7746187016373,5151,-4.644060108036271
28,1926122,292,341,342,L13,0.3820646141241968,43.149944499426105,4616.884605072924,138,-5.627584522054006
28,1926122,300,343,344,L13,0.3615209496317592,41.25992736612184,4357.973258142864,124,-3.870844636448109
28,1926122,276,345,346,L13,0.37226692118917326,42.24855674940394,4428.417018541681,173,-4.428655290586448
28,1926122,153,347,348,L3_C1c,0.47184553243194577,-3.0969914324859644,2822.3866667075818,5178,-4.582449126311748
29,2030458,340,349,350,L12,0.21938350100508655,14.872257545228894,3612.4731791542617,205,-4.925280395869656
