phase,round,split,parent_region_id,child_region_ids,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,reason
primary,12,True,127,"[141, 142]",B_Z_C0,0.4992451174492545,-10.075488255074553,603.6319484614362,252,
primary,12,False,,[],,,,,,insufficient_new_samples
primary,12,True,123,"[143, 144]",L7,0.8616936269845377,286.16936269845377,310.5129802993095,7399,
primary,12,True,121,"[145, 146]",L7,0.7440181101560939,274.4018110156094,316.45589705421503,177,
primary,12,True,122,"[147, 148]",B_Z_C1c,0.5371292734681473,13.36653844853302,368.4718636445315,2517,
primary,13,False,,[],,,,,,insufficient_new_samples
primary,13,False,,[],,,,,,insufficient_new_samples
primary,13,True,135,"[149, 150]",B_Y_C1s,0.48448146661557867,-5.586672018391681,514.5966790148299,554,
primary,13,True,136,"[151, 152]",B_Z_C2c,0.49010852326318516,-1.5826362778903729,390.8452943856542,2328,
primary,13,True,143,"[153, 154]",L7,0.7290366670368167,272.90366670368167,333.40983311700154,578,
primary,13,True,144,"[155, 156]",B_Z_C0,0.49760857486682236,-10.239142513317766,523.1608915557646,2664,
primary,13,True,147,"[157, 158]",B_Z_C1s,0.3733262950574553,-45.602533779316104,499.699733108129,25,
primary,13,True,148,"[159, 160]",L2,0.3769973074136761,138.17908452064987,321.15593200134896,2,
primary,13,True,146,"[161, 162]",L2,0.36135441763011744,132.86050199423994,349.8437933882994,14,
primary,13,True,128,"[163, 164]",B_Z_C2c,0.5318319245781181,5.093107932498896,379.94362347395275,41,
primary,13,True,125,"[165, 166]",L2,0.3615945443798066,132.94214508913424,320.7686103016681,27,
primary,13,True,126,"[167, 168]",B_Z_C2c,0.52028634369081,3.2458149905295954,508.5570977034744,6,
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,False,,[],,,,,,insufficient_new_samples
primary,14,True,151,"[169, 170]",B_Y_C1s,0.483064119059378,-6.0969171386239225,519.0277622676361,273,
primary,14,True,165,"[171, 172]",L7,0.7257804699128303,272.57804699128303,357.95882847320723,527,
primary,14,True,155,"[173, 174]",L8_C1s,0.5886455826936945,9.751014096306392,170.92763937813146,3526,
primary,14,True,154,"[175, 176]",B_Z_C0,0.4960533346324026,-10.394666536759743,489.4497437777143,6257,
primary,15,False,,[],,,,,,insufficient_new_samples
primary,15,False,,[],,,,,,insufficient_new_samples
primary,15,False,,[],,,,,,insufficient_new_samples
primary,15,False,,[],,,,,,insufficient_new_samples
primary,15,True,124,"[177, 178]",B_Y_C1c,0.40920462342895364,-32.686335565576684,404.3359847731001,430,
primary,15,True,175,"[179, 180]",L8_C0,0.6280697549625489,262.8069754962549,213.81720275578553,4456,
primary,15,True,173,"[181, 182]",B_Z_C1s,0.37428845514843145,-45.25615614656468,608.3517104609642,18,
primary,15,True,174,"[183, 184]",B_Z_C2c,0.5144571578855134,2.3131452616821377,347.1664872905102,1091,
primary,15,True,172,"[185, 186]",B_Z_C0,0.49319087559905145,-10.680912440094858,553.8199964295924,5732,
primary,15,True,176,"[187, 188]",B_Z_C1s,0.37783873923019945,-43.97805387712819,492.7256336852209,59,
primary,15,True,158,"[189, 190]",B_Z_C2c,0.5131714821838096,2.1074371494095345,704.634198767127,65,
primary,15,True,159,"[191, 192]",L8_C1c,0.4080535533070898,-10.114109136220122,221.41749039488425,4059,
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,False,,[],,,,,,insufficient_new_samples
primary,16,True,180,"[193, 194]",B_Z_C1s,0.3762811188199469,-44.53879722481912,660.6553619641711,40,
primary,16,True,185,"[195, 196]",B_Z_C1s,0.3787849677935285,-43.637411594329734,663.3279284811856,34,
primary,16,True,182,"[197, 198]",L8_C0,0.6308311927643058,263.0831192764306,146.28780381617744,4995,
primary,16,True,183,"[199, 200]",B_Y_C0,0.5916998992078351,-5.743021166354637,311.9606316739884,5247,
primary,16,True,188,"[201, 202]",L8_C0,0.6280730268392364,262.80730268392364,233.24408810872706,7575,
primary,17,False,,[],,,,,,insufficient_new_samples
primary,17,False,,[],,,,,,insufficient_new_samples
primary,17,False,,[],,,,,,insufficient_new_samples
primary,17,False,,[],,,,,,insufficient_new_samples
primary,17,False,,[],B_Z_C1c,,,,,no_interior_feasible_split_seed
primary,17,True,163,"[203, 204]",L2,0.36256455288604705,133.271947981256,424.52335720465686,107,
primary,17,True,179,"[205, 206]",B_Y_C0,0.5860053193550184,-6.938882935446131,393.75142862442516,3453,
primary,17,True,189,"[207, 208]",B_Z_C0,0.49628728208724354,-10.371271791275646,604.0851152710216,4545,
primary,17,True,186,"[209, 210]",L8_C0,0.6302993987770253,263.02993987770253,207.4781467135841,5365,
