sample,phase,wrist_x_mm,wrist_y_mm,wrist_z_mm,tip_x_mm,tip_y_mm,tip_z_mm,wrist_tip_length_mm
103,0.2861111111111111,-127.83926357202256,78.33050592966656,180.1800262296848,-352.8534072510889,-89.4809339473263,558.5668671395143,471.135485378605
104,0.2888888888888889,-128.82733003024407,77.44843768358763,179.60875505902928,-353.9863063787173,-84.46934698298543,560.6977945221872,471.32026226396783
105,0.2916666666666667,-129.8550224909663,76.56812215888684,179.00977784198497,-355.1909503263506,-79.46764078189726,562.6744578850655,471.510367226963
106,0.2944444444444444,-130.9214415228118,75.68995235523599,178.38360787604176,-356.46822314236954,-74.4782640149225,564.4971662843657,471.7049118818601
107,0.2972222222222222,-132.0256503232957,74.8143095141935,177.7307464975461,-357.81893506880874,-69.50362741747156,566.1662642961014,471.90298350806404
108,0.3,-133.16667574976415,73.94156286449692,177.05168255057183,-359.24382083337235,-64.54610196971933,567.6821308148653,472.1036495850799
109,0.3027777777777777,-134.34350939165424,73.07206938471232,176.3468918847224,-360.7435380292004,-59.60801713189432,569.0451778573553,472.305962413116
110,0.3055555555555556,-135.5551086828006,72.20617358346568,175.61683688244725,-362.3186655845796,-54.69165913645074,570.255849372321,472.5089637951231
111,0.3083333333333333,-136.80039805247134,71.34420729745779,174.86196601641566,-363.96970232468686,-49.7992693388602,571.3146200585973,472.71168975618355
112,0.3111111111111111,-138.07827011376574,70.486489507443,174.0827134374509,-365.6970656273387,-44.93304262868501,572.2219941928536,472.91317527639444
113,0.3138888888888889,-139.38758688796364,69.63332617232858,173.27949859348536,-367.5010901746112,-40.09512590252254,572.9785044686722,473.11245901377714
114,0.3166666666666667,-140.72718106337263,68.78501008152895,172.45272587995595,-369.3820268020745,-35.2876166003307,573.5847108485353,473.3085879942217
115,0.3194444444444444,-142.09585728717852,67.94182072568664,171.6027843220174,-371.3400414472721,-30.512561306567985,574.0411994302702,473.50062224607734
116,0.3222222222222222,-143.49239348876435,67.10402418584711,170.73004728890552,-373.3752141989522,-25.77195441749809,574.3485813294733,473.68763935768726
117,0.325,-144.91554223292658,66.27187304115388,169.834872240743,-375.4875384484375,-21.06773687593219,574.5074915793961,473.8687389369346
118,0.3277777777777778,-146.36403210138138,65.44560629510453,168.91760050803353,-377.6769201443966,-16.401794974592118,574.5185880497424,474.0430469527138
119,0.3305555555555555,-147.83656910091912,64.62544932038699,167.97855710404806,-379.9431771521549,-11.775959229200287,574.3825503857871,474.209719939137
120,0.3333333333333333,-149.33183809653505,63.811613822290944,167.01805057026178,-382.2860387185535,-7.192003322308883,574.1000789691875,474.36794904424596
121,0.3361111111111111,-150.84850426783402,63.00429782066679,166.0363728549569,-384.70514504324143,-2.651643118800515,573.6718939018214,474.51696390598454
122,0.3388888888888888,-152.385214586978,62.20368565038076,165.0337992250616,-387.2000469571528,1.843464246100092,573.0987340139324,474.65603633921313
123,0.3416666666666667,-153.9405993164229,61.40994798019219,164.0105882112508,-389.7702057087931,6.291721205551793,572.3813558978338,474.78448381859545
124,0.3444444444444444,-155.51327352466382,60.62324184995583,162.96698158629067,-392.4149928588248,10.6915905258955,571.5205329683629,474.9016727432455
125,0.3472222222222222,-157.10183861819013,59.843710726028846,161.90320437656342,-395.1336902833163,15.0415959969566,570.5170545512372,475.0070214701003
126,0.35,-158.70488388783048,59.07148457474045,160.81946490666533,-397.9254902858792,19.34032304736742,569.3717250004154,475.10000310405763
127,0.3527777777777778,-160.32098806765205,58.30667995375848,159.7159548769266,-400.7894958187909,23.586419284523497,568.085362845513,475.1801480339987
128,0.3555555555555555,-161.94872090456332,57.54940012116572,158.59284947365768,-403.7247208130664,27.778594958873192,566.6587999702728,475.24704620489075
129,0.3583333333333333,-163.58664473675782,56.79973516203681,157.45030751188304,-406.7300906173069,31.91562335233864,565.092880823036,475.3003491172333
130,0.3611111111111111,-165.23331607912473,56.0577621322842,156.28847161027943,-409.80444254502646,35.99634109075253,563.388461660114,475.33977154618685
131,0.3638888888888889,-166.88728721374673,55.32354521952132,155.1074683979944,-412.94652653001856,40.01964838029108,561.5464098228886,475.36509297376546
132,0.3666666666666667,-168.5471077835974,54.59713592066839,153.9074087529763,-416.1550058891987,43.98450916797613,559.5676030494353,475.3761587285449
133,0.3694444444444444,-170.2113263875489,53.87857323600768,152.68838807140563,-419.4284581922229,47.88995122640737,557.4529288213892,475.37288082837375
134,0.3722222222222222,-171.878492174799,53.16788387937276,151.45048656777738,-422.7653762370547,51.73506616298319,555.2032837467242,475.3552385226231
135,0.375,-173.5471564368276,52.46508250413747,150.1937696051406,-426.1641691305248,55.519009353953976,552.819572979057,475.32327853155186
136,0.3777777777777778,-175.21587419499735,51.770171944650485,148.91828805496343,-429.6231634727925,59.24099980374854,550.3027096740262,475.27711498140275
137,0.3805555555555555,-176.88320578191684,51.08314347274245,147.62407868605106,-433.1406046445004,62.900319930097794,547.6536144832403,475.21692903489475
138,0.3833333333333333,-178.54771841469622,50.40397706891366,146.3111645819048,-436.7146581952792,66.4963152755766,544.8732150862227,475.14296821781465
139,0.3861111111111111,-180.20798775823164,49.73264170779298,144.9795555858741,-440.3434113321424,70.02839414626611,541.962445760731,475.0555454434821
140,0.3888888888888889,-181.86259947667037,49.069095657440265,143.62924877341433,-444.0248745061815,73.49602717833154,538.9222469917543,474.95503773791035
141,0.3916666666666666,-183.51015077122295,48.41328679204825,142.26022895072725,-447.75698309585886,76.89874683339522,535.7535651194403,474.8418846695763
142,0.3944444444444444,-185.1492519025037,47.76515291758303,140.87246917902647,-451.5375991850695,80.23614682366828,532.4573520261412,474.71658648879594
143,0.3972222222222222,-186.77852769560292,47.12462210988658,139.46593132363446,-455.3645134340332,83.5078814678924,529.0345648626989,474.5797019828072
144,0.4,-188.3966190261144,46.49161306474956,138.04056662708564,-459.2354470409575,86.71366497922037,525.4861658140381,474.4318460537834
145,0.4027777777777778,-190.00218428536448,45.86603545944765,136.59631630537567,-463.14805379230944,89.85327068625165,521.8131219040658,474.27368702813595
146,0.4055555555555555,-191.5939008231168,45.247790325221565,135.1331121664689,-467.0999221994114,92.92653018851146,518.0164048398186,474.10594370660715
147,0.4083333333333333,-193.1704663660523,44.63677043016623,133.65087725014124,-471.0885777189874,95.9333324477479,514.0969908947355,473.92938216582604
148,0.4111111111111111,-194.73060041035637,44.03286067198346,132.14952648821188,-475.1114850551636,98.8736228164895,510.05586083087496,473.74481232315736
149,0.4138888888888888,-196.27304558677383,43.43593848003937,130.62896738418544,-479.1660505403421,101.74740200538665,505.8939998598311,473.553084277861
150,0.4166666666666667,-197.7965689965302,42.84587422615687,129.08910071130086,-483.24962459226106,104.55472499092916,501.6123976420421,473.35508444274427
151,0.4194444444444444,-199.29996351654896,42.262531643563534,127.52982122795974,-487.35950424446,107.29569986520204,497.2120483241336,473.15173148167395
152,0.4222222222222223,-200.78204907243733,41.685768253404326,125.95101840947936,-491.4929357472822,109.9704866294131,492.6939506138643,472.9439720694571
153,0.425,-202.24167387774665,41.11543579822084,124.35257719509735,-495.64711723645473,112.57929593298688,488.05910789219575,472.73277649175213
154,0.4277777777777778,-203.67771563806085,40.55138068178909,122.73437874912862,-499.8192014662042,115.12238776008884,483.30852836194447,472.5191341037711
155,0.4305555555555556,-205.08908271850527,39.99344441470162,121.09630123516098,-504.00629860378695,117.60007006549904,478.44322523241664,472.3040486676051
156,0.4333333333333333,-206.4747152733144,39.44146406507196,119.43822060215192,-508.2054790822309,120.01269736181914,473.4642169393696,472.0885335890194
157,0.4361111111111111,-207.83358633614293,38.89527271373388,117.76001138127636,-512.4137765080224,122.36066926004764,468.3725273995912,471.87360707552267
158,0.4388888888888889,-209.1647028698545,38.35469991330294,116.06154749235696,-516.6281906203903,124.64442896561576,463.16918629932894,471.660287238386
159,0.4416666666666667,-210.46710677456903,37.8195721504627,114.34270305869543,-520.8456902987886,126.86446173202629,457.8552294157517,471.44958716208566
160,0.4444444444444444,-211.7398758528021,37.28971331083528,112.60335322911148,-525.0632166151039,129.02129327428483,452.43169897057055,471.2425099653223
161,0.4472222222222222,-212.9821247305829,36.76494514579224,110.84337500598244,-529.2776859270699,131.11548814436094,446.899644014897,471.0400438783495
162,0.45,-214.19300573348949,36.24508774056066,109.06264807807143,-533.4859930093087,133.1476480709568,441.26012084436536,470.8431573617855
163,0.4527777777777778,-215.37170971659577,35.729959982977206,107.2610556569186,-537.6850142183781,135.11841026590417,435.514193443497,470.6527942923901
164,0.4555555555555555,-216.5174668473816,35.21938003224348,105.4384853155683,-541.8716106881548,137.02844569954314,429.66293395823953,470.46986924143744
165,0.4583333333333333,-217.6295473407124,34.71316578703563,103.59482982839737,-546.0426315518478,138.87845734747543,423.7074231955639,470.29526287131
166,0.4611111111111111,-218.70726214505677,34.211135352323,101.729988010807,-550.1949171868997,140.66917841111115,417.6487511489629,470.1298174757573
167,0.4638888888888888,-219.7499635791656,33.71310750425254,99.8438655575402,-554.3253024790008,142.40137051445916,411.48801754864894,469.9743326888956
168,0.4666666666666667,-220.7570459185008,33.21890215245806,97.93637587838424,-558.4306201014242,144.07582187963544,405.22633243520687,469.8295613874909
169,0.4694444444444444,-221.7279459307593,32.72834079915808,96.0074409300216,-562.5077038058533,145.69334548358435,398.8648167554241,469.69620581031876
170,0.4722222222222222,-222.6621433599027,32.24124699440943,94.0569920427939,-566.5533917208729,147.2547771985286,392.4046029789735,469.57491391747743
171,0.475,-223.55916135816344,31.75744678688989,92.08497074114926,-570.5645296542723,148.76097391867762,385.84683573459887,469.4662760114158
172,0.4777777777777778,-224.4185668655639,31.276769169588484,90.0913295565482,-574.5379743953038,150.2128116757371,379.19267246441,469.3708216401288
173,0.4805555555555555,-225.23997093654572,30.799046519789627,88.07603283161302,-578.4705970130402,151.61118374577163,372.4432840948688,469.28901680150307
174,0.4833333333333333,-226.0230290133746,30.324115032744015,86.03905751431219,-582.3592861469732,152.95699874997965,365.59985572301207,469.22126146613664
175,0.4861111111111111,-226.76744114604668,29.851815148428496,83.98039394098443,-586.2009512860026,154.2511787519388,358.6635873164351,469.16788743415015
176,0.4888888888888889,-227.47295215849047,29.381991970805508,81.90004660701868,-589.9925260319765,155.49465735388583,351.63569442552733,469.12915653954957
177,0.4916666666666667,-228.1393517609229,28.914495679002684,79.79803492401847,-593.7309713439628,156.6883777945856,344.5174089064297,469.1052592136191
178,0.4944444444444444,-228.76647460828173,28.449181929844283,77.67439396229786,-597.4132787594431,157.83329105134044,337.3099796531657,469.0963134166244
179,0.4972222222222222,-229.35420030472469,27.985912251176583,75.52917517756902,-601.0364735886559,158.9303539486804,330.0146733373669,469.1023639448243
180,0.5,-229.90245335424905,27.524554425442105,73.36244712070344,-604.5976180783406,159.9805272762618,322.63277515401165,469.12338211743855
181,0.5027777777777778,-230.41120305755217,27.064982862969693,71.1742961294653,-608.0938145411642,160.98477391848522,315.1655895715619,469.159265845812
182,0.5055555555555555,-230.88046335531732,26.607078964461103,68.96482700113894,-611.5222084471593,161.94405699832487,307.61444108488695,469.2098400846078
183,0.5083333333333333,-231.31029261817568,26.15073147216878,66.73416364499417,-614.8799914735376,162.85933803783908,299.9806749693379,469.27485766243376
184,0.5111111111111111,-231.70079338365815,25.69583680927359,64.48244971355552,-618.1644045092971,163.73157513780586,292.2656580343347,469.3540004869242
185,0.5138888888888888,-232.0521120405175,25.24229940698752,62.20984921166998,-621.3727406110834,164.56172117889852,284.4707793748196,469.4468811169466
186,0.5166666666666667,-232.3644384608618,24.79003201892116,59.91654708239087,-624.502347906834,165.35072204678633,276.5974511189238,469.5530446923502
187,0.5194444444444445,-232.63800558060652,24.338956022272875,57.602749768725126,-627.5506324437839,166.09951488350868,268.6471091701947,469.67197120948333
188,0.5222222222222223,-232.87308892881268,23.889001705413342,55.26868575032007,-630.5150609774821,166.80902636743534,260.6212139427275,469.8030781286573
189,0.525,-233.0700061065421,23.44010854145651,52.91460605419535,-633.3931636985293,167.48017102408454,252.52125108754964,469.9457232977973
190,0.5277777777777778,-233.2291162159212,22.992225447426485,50.54078473865783,-636.1825368938305,168.11384957002696,244.34873220861084,470.0992081747485
191,0.5305555555555556,-233.35081924016404,22.54531102864782,48.14751934956902,-638.8808455392219,168.71094729205953,236.10519556673609,470.2627813290777
192,0.5333333333333333,-233.4355553753671,22.09933380800614,45.73513134816828,-641.4858258204172,169.27233246378196,227.7922067699058,470.43564220276477
193,0.5361111111111111,-233.48380431494343,21.654272439745245,43.30396650969024,-643.9952875792992,169.79885480165953,219.41135944824703,470.6169451079112
194,0.5388888888888889,-233.4960844876239,21.21011590748687,40.85439529205012,-646.4071166826744,170.29134396260162,210.96427591212176,470.80580343850716
195,0.5416666666666667,-233.4729522500067,20.766863706179187,38.386813173906056,-648.7192773106922,170.7506080850279,202.4526077917185,471.0012940724033
196,0.5444444444444444,-233.41500103469377,20.32452600770155,35.901640961448386,-650.9298141622296,171.17743237533656,193.8780366565772,471.2024619389287
197,0.5472222222222223,-233.32286045510403,19.883123809872625,33.399325063298086,-653.0368545746406,171.57257774162844,185.2422746134789,471.40832472707507
198,0.55,-233.197195368107,19.442689068632284,30.88033773294492,-655.0386105553623,171.93677947647384,176.54706488118305,471.61787770882955
199,0.5527777777777778,-233.0387048956703,19.003264813187183,28.34517727818472,-656.9333807229845,172.27074599044866,167.79418234048305,471.83009865207924
200,0.5555555555555556,-232.8481214067648,18.564905243933264,25.794368237065445,-658.7195521554864,172.57515759809402,158.9854340581083,472.0439527975132
201,0.5583333333333333,-232.6262094608184,18.127675812990173,23.228461519887777,-660.395602143458,172.85066535788556,150.12265978301144,472.2583978741141
202,0.5611111111111111,-232.37376471405463,17.691653287204566,20.64803451684956,-661.9600998462347,173.09788996772707,141.20773241361567,472.47238912814765
203,0.5638888888888889,-232.0916127901004,17.256925793502127,18.053691170965,-663.4117078489897,173.3174207174087,132.24255843462473,472.68488434099703
204,0.5666666666666667,-231.78060811628413,16.8235928464909,15.446062015934558,-664.74918361894,173.5098144993948,123.2290783220398,472.89484881176713
205,0.5694444444444444,-231.44163272709375,16.391765358240974,12.825804178682548,-665.9713808589484,173.67559487922907,114.16926691505536,473.1012602812624
206,0.5722222222222223,-231.07559503629716,15.961565630188876,10.193601346325469,-667.0772507569188,173.81525122676626,105.06513375354976,473.3031137747159
207,0.575,-230.68342857926868,15.53312732713774,7.550163697377097,-668.0658431295096,173.92923790935927,95.91872337992304,473.49942634151296
208,0.5777777777777778,-230.2660907271001,15.106595433347266,4.89622779704002,-668.9363074588098,174.0179735480485,86.73211560407127,473.6892416710809
209,0.5805555555555556,-229.82456137410813,14.682126190731438,2.2325564564837417,-669.6878938207535,174.08184033771786,77.50742573034968,473.87163456510734
210,0.5833333333333334,-229.35984160038055,14.25988701920331,-0.4400614439554439,-670.3199537041745,174.12118343209735,68.24680474538792,474.0457152472897
211,0.5861111111111111,-228.8729523110366,13.84005641923097,-3.1208111676623065,-670.8319407195314,174.1363103944069,58.95243946569999,474.21063349288823
212,0.5888888888888889,-228.3649328539002,13.422823856690668,-5.808852370688347,-671.2234111964648,174.12749071435036,49.62655264406209,474.3655825614592
213,0.5916666666666667,-227.83683961731376,13.008389630126183,-8.503319386678685,-671.494024669478,174.09495539208064,40.27140303368265,474.509802917257
214,0.5944444444444444,-227.28974460984196,12.596964720546415,-11.203321547657522,-671.6435442511697,174.03889658966995,30.889285409245293,474.64258572292925
215,0.5972222222222222,-226.7247340236357,12.188770623915422,-13.907943540505748,-671.6718368925718,173.9594673505298,21.48253054395061,474.76327609325097
216,0.6,-226.1429067832481,11.784039166511931,-16.616245798917298,-671.578873530288,173.8567813871374,12.053505141743422,474.8712760967785
217,0.6027777777777779,-225.54537308170757,11.383012303357171,-19.327264930577645,-671.3647291202559,173.73091293733444,2.6046117239631954,474.9660474944243
218,0.6055555555555555,-224.93325290567068,10.985941899932127,-22.040014179262187,-671.0295825580932,173.58189668937476,-6.861711530289194,475.047114205062
219,0.6083333333333334,-224.30767455148907,10.59308949742642,-24.753483921510103,-670.5737164861204,173.40972777580802,-16.34299099072101,475.1140644893753
220,0.6111111111111112,-223.66977313403405,10.20472606178378,-27.466642197478716,-669.997516987289,173.21436183619568,-25.836717829928627,475.16655284424974
221,0.6138888888888889,-223.02068909013173,9.821131716828,-30.17843527555141,-669.3014731663757,172.99571514856515,-35.34034832554396,475.20430160107315
222,0.6166666666666667,-222.3615666784661,9.442595461776406,-32.887788250215934,-668.4861766189352,172.75366482941882,-44.8513042108954,475.22710222237964
223,0.6194444444444445,-221.6935524778121,9.069414873466304,-35.59360567269761,-667.5523207886446,172.48804910202443,-54.3669730746084,475.23481629231145
224,0.6222222222222222,-221.01779388546004,8.701895793641016,-38.294772213784206,-666.5007002137899,172.19866763262362,-63.88470880948576,475.2273761974113
225,0.625,-220.33543761769465,8.340352001661302,-40.99015335823965,-665.332209663793,171.88528193410644,-73.40183211095598,475.20478549529037
226,0.6277777777777778,-219.64762821418373,7.985104873026956,-43.6785961301639,-664.0478431667955,171.54761583661215,-82.91563102531454,475.1671189697407
227,0.6305555555555555,-218.9555065481314,7.63648302411224,-46.35892984861422,-662.6486929294471,171.18535602442714,-92.42336154791413,475.11452237187774
228,0.6333333333333334,-218.26020834403863,7.294821943537151,-49.0299669127652,-661.1359481501776,170.79815263846564,-101.92224827140024,475.04721184792885
229,0.6361111111111111,-217.56286270490543,6.960463610613574,-51.69050361584699,-659.5108937273541,170.38561994353145,-111.40948508402546,474.9654730553101
230,0.6388888888888888,-216.8645906506959,6.633756101323193,-54.33932098706246,-657.774908863846,169.9473370594744,-120.88223591800772,474.8696599696625
231,0.6416666666666666,-216.1665036698736,6.315053182300368,-56.97518566064638,-655.9294655696517,169.48284875527116,-130.3376355478296,474.7601933865749
232,0.6444444444444445,-215.46970228579656,6.004713893308828,-59.59685077119882,-653.9761270643502,168.9916663049777,-139.7727904383261,474.6375591227688
233,0.6472222222222223,-214.7752746397432,5.703102118717131,-62.20305687438271,-651.9165460812687,168.47326840441798,-149.1847796423188,474.5023059226017
234,0.65,-214.0842950923182,5.410586148491955,-64.79253289205043,-649.7524630753662,167.92710214739466,-158.57065574751823,474.35504307683095
235,0.6527777777777778,-213.39782284496485,5.127538229243005,-67.3639970808236,-647.4857043369483,167.35258406012855,-167.92744587232215,474.19643776168493
236,0.6555555555555557,-212.7169005832846,4.854334105866444,-69.91615802312552,-645.1181800134435,166.7491011925566,-177.25215271009773,474.0272121074209
237,0.6583333333333333,-212.04255314383693,4.591352554346854,-72.44771563963053,-642.6518820415728,166.11601226504283,-186.54175562145275,473.8481400066779
238,0.6611111111111111,-211.37578620606232,4.338974906289683,-74.95736222206996,-640.0888819923533,165.4526488689831,-195.79321177395295,473.66004367409744
239,0.6638888888888889,-210.7175850109409,4.097584565767825,-77.44378348530181,-637.4313288314806,164.75831671971392,-205.00345732866228,473.46378996984316
240,0.6666666666666666,-210.06891310796465,3.867566519076634,-79.90565963752881,-634.6814465977296,164.03229696006463,-214.1694086728334,473.2602865008286
241,0.6694444444444445,-209.4307111319661,3.6493068380016553,-82.34166646752224,-631.8415320021134,163.2738475128253,-223.2879636980077,473.05047751463525
242,0.6722222222222223,-208.8038956113081,3.44319217721268,-84.75047644768512,-628.9139519506297,162.48220448033825,-232.35600312271947,472.83533960227203
243,0.675,-208.18935780890124,3.249609266406398,-87.1307598517676,-625.9011409935182,161.65658358935556,-241.3703918589476,472.61587722709254
244,0.6777777777777777,-207.5879625974739,3.0689443978274573,-89.48118588602323,-622.8055987040316,160.79618167924733,-250.32798042138344,472.39311809831383
245,0.6805555555555556,-207.00054737047648,2.901582909804997,-91.80042383257822,-619.6298869898096,159.900178231584,-259.22560637853854,472.16810840869675
246,0.6833333333333333,-206.4279209899585,2.747908666947862,-94.0871442037652,-616.3766273400269,158.96773693906192,-268.0600958446451,471.94190795701047
247,0.6861111111111111,-205.87086277270845,2.608303537646941,-96.34001990615924,-613.0484980115497,157.998007311687,-276.82826501125953,471.715585176913
248,0.6888888888888889,-205.3301215159027,2.48314686953815,-98.55772741303402,-609.6482311574199,156.99012631808085,-285.5269217174041,471.4902120948298
249,0.6916666666666667,-204.8064145634555,2.3728149635831044,-100.73894794394742,-606.178609901042,155.9432200597254,-294.1528670570441,471.26685924027635
