phase,evaluation,round,region_id,score,tip_rmse_mm,wrist_rmse_mm,combined_rmse_mm,stage
confirmation,39228,0,0,610.8747803915438,617.526770616997,322.4670894143778,492.6075193214359,split_probe
confirmation,39253,0,0,605.517289586672,612.1109405622316,321.2459765208298,488.8142699363437,split_probe
confirmation,39277,0,0,599.4419108780802,605.9694053170095,320.66953188938163,484.7823577969836,split_probe
confirmation,39308,0,0,594.3251000109267,600.7968760326512,320.66953188938163,481.55261131715815,split_probe
confirmation,39318,0,0,584.1262100210803,590.4869274122955,320.66953188938163,475.1335391902831,split_probe
confirmation,39320,0,0,545.7052441569725,551.6475846605108,320.66953188938163,451.1895424009351,split_probe
confirmation,40141,1,2,539.7836325939936,545.6614909753356,319.967465551039,447.2838258558997,cmaes_backtrack
confirmation,40264,1,2,536.2013613650462,542.0402113702613,320.7277992596893,445.35037440215604,cmaes_backtrack
confirmation,40867,1,2,532.8569772042889,538.6594092537107,329.0595845940189,446.3374112657065,cmaes_backtrack
confirmation,41007,1,2,466.41932903811585,469.2072208901568,461.89201602799113,465.56398626067846,cmaes
confirmation,44045,1,2,465.06931104738806,462.906528919329,466.7398263041356,464.82712914295155,cmaes
confirmation,53215,1,1,458.4763487560651,460.22788643236356,456.16471662930223,458.2008054049513,cmaes
confirmation,57964,1,1,458.1084122477536,458.3115745532641,457.89941016210196,458.1055387114923,split_probe
confirmation,57971,1,1,457.47489491047963,458.8052642171503,455.84480465192155,457.32742996758765,split_probe
confirmation,57973,1,1,455.7785168685439,453.7371496219712,457.3687375900511,455.55656238923183,split_probe
confirmation,58021,1,1,454.9546607359835,453.5001660552853,456.1647166293021,454.83439255934843,split_probe
confirmation,58134,1,1,454.62593173603705,452.154234031382,456.4634404749687,454.31394643063237,split_probe
confirmation,58158,1,1,454.44511478787297,456.60942048904786,451.33796412229697,453.98134363506836,split_probe
confirmation,58160,1,1,449.76955811152754,452.87812797490795,444.13129723589776,448.5260349090666,split_probe
confirmation,59100,2,3,435.68757818487717,440.0008367421025,421.5715606443396,430.88473927365686,cmaes_backtrack
confirmation,60107,2,3,426.4322093472375,429.11728983436933,421.91219637737777,425.52999300095,cmaes_backtrack
confirmation,64099,2,3,420.58921595964307,424.07266338353605,412.8503998237272,418.49914961909855,cmaes_backtrack
confirmation,65009,2,3,419.738452986547,423.7596340156356,407.8570482504043,415.8843584631418,cmaes_backtrack
confirmation,69133,2,5,402.57251559547154,403.9697404628318,400.7815919160903,402.37882376462306,cmaes_backtrack
confirmation,74229,2,5,397.4124137423485,400.2742370348152,392.02037004876917,396.16879948260527,cmaes_backtrack
confirmation,76855,2,5,392.3114110515655,394.1917568133469,389.60416699967504,391.9046746870363,cmaes_backtrack
confirmation,94131,2,5,389.33468750584854,391.05711865159265,386.9379035261122,389.0029635062365,split_probe
confirmation,94154,2,5,388.7302336083366,387.77568118623503,389.55669963665815,388.66721057432545,split_probe
confirmation,94242,2,5,386.7674091574124,385.7795604452335,387.61810601000656,386.69992588834447,split_probe
confirmation,94244,2,5,383.44661055911854,381.7527951953029,384.7701444257482,383.2644391805989,split_probe
confirmation,94298,2,5,382.95746384187044,384.64097389960085,380.62075060956823,382.63614217492875,split_probe
confirmation,96181,3,8,382.4020260056919,384.4328581972616,379.3270475646429,381.88848599808864,cmaes_backtrack
confirmation,96784,3,8,381.5124465628529,381.7788937122739,381.2337341747487,381.5064113203018,cmaes_backtrack
confirmation,96833,3,8,368.55211183558004,367.1238242121796,369.6991711947848,368.4137480376419,cmaes_backtrack
confirmation,97535,3,8,367.84279458031745,370.20657161049206,363.8031860603513,367.0188441015372,cmaes_backtrack
confirmation,113787,3,12,355.73853861049025,359.6122714751405,289.96698642096055,326.65106689674514,cmaes
confirmation,117678,3,12,350.2370436572766,354.0430678312059,319.53879425596836,337.23251245534584,cmaes
confirmation,117818,3,12,344.7389991701247,348.4927786630546,296.6609335877882,323.6162281912596,cmaes_backtrack
confirmation,120331,3,12,343.4893535561915,347.229684693291,286.13833420647285,318.1537366075224,cmaes
confirmation,138947,3,11,323.30348044421817,326.82400491455144,268.96405112029464,299.2954986158556,cmaes
confirmation,141035,3,11,321.13275933314173,324.6295991424558,272.3440897782499,299.6295044521942,cmaes_backtrack
confirmation,161695,3,11,320.83548158101087,324.3290748551712,272.6568645956334,299.609007380897,split_probe
confirmation,161701,3,11,320.57220710923383,324.0629258300304,272.84652312149444,299.5513353976309,split_probe
confirmation,161703,3,11,319.4672302241064,322.9458522927344,274.35058495287694,299.635000439757,split_probe
confirmation,161705,3,11,319.26361686998047,322.7398591407793,277.3727192391216,300.9124806786141,split_probe
confirmation,161712,3,11,318.40649039443474,321.8735954267318,272.3533385711332,298.143382002497,split_probe
confirmation,161760,3,11,315.0578882644706,318.4884216780438,272.3440897782499,296.3158601729874,split_probe
confirmation,161854,3,11,312.2408380946268,315.64047248830457,272.8987381051,295.04459758822577,split_probe
confirmation,161866,3,11,310.74130858856506,314.1243574082535,273.54713744589856,294.5353529900897,split_probe
confirmation,164261,4,15,310.1597629997387,313.5369530857749,268.2918289005299,291.7926716052877,cmaes_backtrack
confirmation,164533,4,15,307.20795299364664,310.55299797604073,265.8144124926889,289.05057208102886,cmaes_backtrack
confirmation,164786,4,15,299.6986902373931,302.95602614400104,273.0900688616989,288.4098988313786,cmaes_backtrack
confirmation,167790,4,15,292.59522350840854,295.78137475042433,234.95595380130393,267.10571116688186,cmaes_backtrack
confirmation,169956,4,15,259.27880459775434,262.0997736775415,233.31611393906022,248.1256741909662,cmaes_backtrack
confirmation,179371,4,18,259.10342138998965,261.9136326693054,238.86270190451162,250.6532877693363,cmaes_backtrack
confirmation,179408,4,18,251.32764489260444,254.05616394420244,230.69260791533978,242.6557373985047,cmaes_backtrack
confirmation,179413,4,18,250.4870044779585,253.1688707688474,236.149537388714,244.80714974779332,cmaes_backtrack
confirmation,180438,4,18,248.89105210610472,251.60091046678346,217.8285204175163,235.3213573552119,cmaes_backtrack
confirmation,182768,4,18,237.15378184647244,239.73438611532762,212.81396107065726,226.6741691422693,cmaes_backtrack
confirmation,185768,4,18,230.14993202818064,229.86340685810382,230.415609256947,230.1396736784688,cmaes
confirmation,186521,4,18,229.43879786883664,224.79044286579452,231.41258015244597,228.1255415956445,cmaes
confirmation,186533,4,18,227.4130393493682,229.88301226938523,208.23305818202402,219.32533580264334,cmaes
confirmation,187265,4,18,214.133762332112,216.4652782582659,186.54311639710266,202.05884163600894,cmaes
confirmation,257301,4,18,206.8553547708938,209.10652764816928,185.10434584244112,197.47045190968777,split_probe
confirmation,257327,4,18,205.8512210117349,208.08944724739,186.88494707240548,197.77158731473554,split_probe
confirmation,257336,4,18,203.37973607335792,205.59020532114056,185.32593037141547,195.72050606926638,split_probe
confirmation,257353,4,18,201.31624000767854,203.49630143280456,186.54311639710278,195.20384085869557,split_probe
confirmation,257540,4,18,200.44144255182877,202.60813958149885,186.54311639710278,194.74135731762158,split_probe
confirmation,260718,5,31,199.2741840742661,201.34347455008165,190.84776432553844,196.1658276713297,cmaes_backtrack
confirmation,261444,5,31,197.55681190557254,199.61445060856957,189.0169328384569,194.3879237393861,cmaes
confirmation,262210,5,31,194.0424506883699,196.00297181973846,187.0989921813769,191.60271114660162,cmaes
confirmation,262925,5,31,186.87707753846195,188.69222788909914,181.29539044753537,185.03077509332877,cmaes
confirmation,264843,5,31,182.39828951853775,183.87889235891006,179.19981380923153,181.5544275477782,cmaes
confirmation,274649,5,36,180.7408352634879,182.6084355388233,173.35468182664775,178.04168955774776,cmaes_backtrack
confirmation,282011,5,33,178.99129658558383,177.98642126853127,179.7320557553222,178.861368134672,cmaes_backtrack
confirmation,284289,5,33,174.70299029086053,175.51966745967619,173.54013577666908,174.5327080958467,cmaes_backtrack
confirmation,344466,5,33,173.20284894515424,172.8719690899182,173.4981485451148,173.1853418243131,split_probe
confirmation,344542,5,33,172.75810096796505,171.65966847690146,173.54013577666916,172.60246305743217,split_probe
confirmation,344555,5,33,172.70210342055404,171.48872693255922,173.54013577666916,172.51748054955857,split_probe
confirmation,344560,5,33,172.62832931373924,171.25170360238403,173.54013577666916,172.39971680966235,split_probe
confirmation,344564,5,33,172.33590007190747,170.13013142692535,173.54013577666916,171.84359217719998,split_probe
confirmation,344573,5,33,171.84567048806048,166.37654110549016,173.54013577666916,169.99607665415638,split_probe
confirmation,344618,5,33,170.68656381966008,168.09582953952912,171.9851032285202,170.0515857631254,split_probe
confirmation,344669,5,33,169.12140120100398,163.53189139777302,170.80294975972845,167.20694834658838,split_probe
confirmation,345781,6,47,166.19494694900615,167.45248784366902,163.70103881034362,165.58738749165008,cmaes_backtrack
confirmation,346200,6,47,163.33876289150794,156.77346403420327,165.02230763949004,160.9507394266117,cmaes_backtrack
confirmation,346690,6,47,153.0460305945544,152.5390731862936,153.4652317085828,153.00285322813824,cmaes_backtrack
confirmation,379859,6,48,148.67846770915253,148.24892771936626,149.0417284966433,148.6458566580465,cmaes
confirmation,435406,6,48,148.6506989299944,148.22425047570653,149.01173758595945,148.61851561543708,split_probe
confirmation,435419,6,48,148.64204613387423,149.2402409418778,147.8386085624971,148.54107798532527,split_probe
confirmation,435454,6,48,148.63549758092756,148.14445173051493,149.04172849664332,148.59376738578572,split_probe
confirmation,435461,6,48,148.58185643907117,148.01002098064632,149.04172849664332,148.5267705566214,split_probe
confirmation,435463,6,48,148.3575447707547,147.38901462375955,149.04172849664332,148.21767516903972,split_probe
confirmation,435465,6,48,148.13546843948046,146.6406161543765,149.04172849664332,147.84604685178823,split_probe
confirmation,435511,6,48,147.94861592276536,145.83528668207182,149.04172849664332,147.4472239055541,split_probe
confirmation,435513,6,48,147.7881826770039,144.9020652728623,149.04172849664332,146.9864710672516,split_probe
confirmation,435525,6,48,147.6884512202487,144.1006458298022,149.04172849664332,146.59200687935416,split_probe
confirmation,435564,6,48,146.68467436426002,144.13881578482426,147.87014362630524,146.01639906516604,split_probe
confirmation,435566,6,48,146.04313092084837,144.91985362041214,146.79636921319658,145.86112913922412,split_probe
confirmation,435673,6,48,145.8305634751833,147.21573074084895,141.83117651875256,144.54852820118177,split_probe
confirmation,436273,6,50,145.6496912638756,144.42596062150554,146.4454573544157,145.4392142463453,split_probe
confirmation,436275,6,50,138.8620204423685,139.9141485049301,136.77239728556543,138.35219118449152,split_probe
confirmation,437812,7,60,137.84518611196046,138.55340010759883,136.79111750301905,137.67507855291225,cmaes_backtrack
confirmation,437953,7,60,137.29112850366346,137.87717149154804,136.4869383113359,137.1838160063208,cmaes_backtrack
confirmation,438020,7,60,136.3311911976508,136.50947859785353,136.13688486616394,136.32330902696174,cmaes_backtrack
confirmation,438040,7,60,136.1506924036321,135.62065848248923,136.57598021099966,136.09915756135183,cmaes_backtrack
confirmation,438576,7,60,133.76659947030365,133.92725607891117,133.59278411415193,133.7601246414578,cmaes_backtrack
confirmation,442717,7,60,130.219883988541,130.70018067825896,129.59302804325887,130.1477816690519,cmaes_backtrack
confirmation,447772,7,61,127.5416242691765,128.66643862968263,124.77645259766096,126.7363711657041,cmaes
confirmation,449588,7,61,118.58506319806997,113.47076649580676,119.81979535655496,116.68847031397878,cmaes
confirmation,518004,7,61,118.54138104299099,113.61479033475372,119.76930791422835,116.73261690946384,sqp_sensitivity_probe
confirmation,518005,7,61,118.53234525843422,113.1740853786955,119.77396745865475,116.52076399099678,sqp_sensitivity_probe
confirmation,518008,7,61,118.46587150335962,113.36195296450026,119.69919271707224,116.57364435635606,sqp_sensitivity_probe
confirmation,518061,7,61,118.35089789967445,113.33552764112542,119.58024034752228,116.49973327708416,sqp_sensitivity_probe
confirmation,518065,7,61,118.07531032261396,113.1789089251489,119.29801833173187,116.27872248043789,sqp_sensitivity_probe
confirmation,518156,7,61,117.15918876080407,111.91032614655404,118.38507742070063,115.19320217385525,slsqp
confirmation,518157,7,61,116.66099027423644,111.75501246990386,117.87147736800448,114.85396812706202,slsqp
confirmation,518209,7,61,115.1534682706894,110.55370570609561,116.3392169074083,113.48333630092789,slsqp
confirmation,518210,7,61,114.67026791383579,110.33492456700958,115.84042912319761,113.12117529148613,slsqp
confirmation,518262,7,61,113.80399306909945,109.20259830622717,114.97804260928896,112.1275116978315,slsqp
confirmation,518263,7,61,113.33485717487697,109.13131280178062,114.48751333651967,111.84148189249787,slsqp
confirmation,518315,7,61,112.77176142520985,107.92336465672565,113.94547018538015,110.97527385547633,slsqp
confirmation,518316,7,61,112.30396412633328,107.81845891862349,113.46035359392893,110.67536293422823,slsqp
confirmation,518368,7,61,111.49805967608606,107.37426507892049,112.63146485673478,110.03426665591988,slsqp
confirmation,518369,7,61,111.04895584795732,107.35330588441276,112.1547281860404,109.78026994591718,slsqp
confirmation,518421,7,61,110.60593229137427,106.24470373611564,111.74252634511136,109.02827446576161,slsqp
confirmation,518422,7,61,110.16764844071139,106.32187364867335,111.27542545573017,108.82683751381876,slsqp
confirmation,518474,7,61,109.44619330232415,105.9037673516675,110.52945749456066,108.24132508732052,slsqp
confirmation,518475,7,61,109.03182453380224,106.02361792477036,110.06917302020271,108.06532840649912,slsqp
confirmation,518527,7,61,107.18104306932307,106.94670266616882,107.38697626477548,107.16706556227379,slsqp
confirmation,518528,7,61,107.13102103133104,107.298626015211,106.94507107123528,107.12199440633954,slsqp
confirmation,518529,7,61,107.07216374097783,107.00309506432126,107.13853477814418,107.07083633686574,slsqp
confirmation,518534,7,61,106.97741122054741,106.55563583511223,107.31497710191945,106.93598047105229,slsqp
confirmation,518536,7,61,106.89643999831685,106.30072336426677,107.33644334331213,106.81983864750599,slsqp
confirmation,518580,7,61,106.29985425758835,106.27616916993658,106.3232114680373,106.29969292127319,slsqp
confirmation,518582,7,61,106.22967636091524,106.37247457817978,106.07365619555321,106.22317046336435,slsqp
confirmation,518587,7,61,106.12857336596586,105.99267750622596,106.25431986323233,106.12357931802175,slsqp
confirmation,518589,7,61,106.0088762549411,105.69003665021438,106.27681249612982,105.98383065699501,slsqp
confirmation,518633,7,61,104.38334966225106,104.77516902775959,103.86915041564545,104.32314329252058,slsqp
confirmation,518636,7,61,104.3714587037095,104.82811111401513,103.73881270409686,104.28488418986711,slsqp
confirmation,518640,7,61,104.27185430752333,104.63812614587599,103.80075396212625,104.2202810551433,slsqp
confirmation,518642,7,61,104.09031797639223,104.30447791340386,103.84420304115818,104.0745949260458,slsqp
confirmation,518686,7,61,103.83300835506317,104.22114141555258,103.324317123095,103.77369808124435,slsqp
confirmation,518689,7,61,103.82708319436844,104.28108620145073,103.19825358538415,103.74108270696729,slsqp
confirmation,518693,7,61,103.73869919671523,104.10977757202399,103.25886672501895,103.68519504594553,slsqp
confirmation,518695,7,61,103.56728198330211,103.79550031904783,103.30219018299145,103.54913901883587,slsqp
confirmation,518739,7,61,102.42198960982923,103.11733235339064,101.18017661471589,102.15334642454138,slsqp
confirmation,518748,7,61,102.32635708802891,102.99010792452462,101.18387573787466,102.09098647687485,slsqp
confirmation,518792,7,61,101.75065486204015,102.62556174124063,99.69182497640456,101.16932808374106,slsqp
confirmation,518800,7,61,101.40982241895718,102.23780382783305,99.60698073871202,100.93096438511975,slsqp
confirmation,518853,7,61,101.14820207722464,102.00018026506385,99.20763685775945,100.61359745334273,slsqp
confirmation,518898,7,61,101.01587548181278,101.85258213591135,99.15685062080769,100.51375406577384,slsqp
confirmation,518906,7,61,100.70071246253268,101.48853074813566,99.07706279651208,100.29004498403438,slsqp
confirmation,518950,7,61,99.97121163753972,100.874760806593,97.64334332717591,99.27220120430518,slsqp
confirmation,518958,7,61,99.35534968740512,100.16730333506324,97.5851693078412,98.88466495432596,slsqp
confirmation,519080,7,61,99.3543605062149,100.16607829699755,97.58537769634007,98.88414731780215,slsqp
confirmation,519367,7,61,98.96776701786742,99.69093618132197,97.58537769634006,98.6437750110106,split_probe
confirmation,519399,7,61,98.94511818921605,99.66224954347366,97.58537769634006,98.6292804500848,split_probe
confirmation,519401,7,61,98.70570175469042,99.35191247643272,97.58537769634006,98.47260647728915,split_probe
confirmation,519528,7,61,98.42577962256124,98.91029119288893,97.71955319115348,98.31672487359604,split_probe
confirmation,519549,7,61,98.39640420430722,98.92741115766705,97.58537769634006,98.25868566822847,split_probe
confirmation,519571,7,61,98.17721245155447,98.83216334500186,97.02448793593071,97.9324965746373,split_probe
confirmation,519573,7,61,96.05403412305346,95.72594382721819,96.32386628715759,96.02537044478908,split_probe
confirmation,527661,8,71,95.81459630125853,94.46382507663428,96.51794590834085,95.49640865099161,cmaes
confirmation,600532,8,71,95.8079002592822,94.54206225266844,96.48852471555713,95.52025161391722,sqp_sensitivity_probe
confirmation,600533,8,71,95.7607248235003,94.30951753693655,96.48870782883185,95.4053348522173,sqp_sensitivity_probe
confirmation,600587,8,71,95.72800196258034,94.25469626355913,96.46104444324827,95.36425132830988,sqp_sensitivity_probe
confirmation,600589,8,71,95.6900628718054,94.74833249939167,96.26679368109295,95.51058076740344,sqp_sensitivity_probe
confirmation,600593,8,71,95.53806881522378,94.8795717308063,95.99560527001186,95.43921982858292,sqp_sensitivity_probe
confirmation,600684,8,71,95.03968517661237,94.29442131576829,95.53616956741794,94.91732609721485,slsqp
confirmation,600685,8,71,94.95630886748931,94.88490184100162,95.02448536495537,94.95471925147042,slsqp
confirmation,600686,8,71,94.94593868460301,94.50963403232795,95.28385824615712,94.89753570877994,slsqp
confirmation,600746,8,71,94.90896236830976,95.10419518697299,94.68460504988647,94.89463202841044,slsqp
confirmation,600747,8,71,94.86722660181339,95.05516479008423,94.65243977354677,94.85401601501901,slsqp
confirmation,600749,8,71,94.75240934394292,94.89478301490068,94.59513471729679,94.74507732760739,slsqp
confirmation,600754,8,71,94.62602592401443,94.72932589429725,94.51509317640398,94.62227016546449,slsqp
confirmation,600802,8,71,94.57599278931811,94.94649684338144,94.08293572270725,94.51570254998188,slsqp
confirmation,600807,8,71,94.38563501403787,94.68977689714339,94.00358233266881,94.3473034596263,slsqp
confirmation,600853,8,71,94.25520696480999,94.98873548648069,92.75293538090108,93.87749168755578,slsqp
confirmation,600896,8,71,94.15376332099702,94.85891764793163,92.77084346338792,93.82068976042945,slsqp
confirmation,600906,8,71,94.07183725084072,94.74226701720652,92.82118969043707,93.7866472774983,slsqp
confirmation,600949,8,71,93.9211637913042,94.41030076942693,93.1880951913368,93.8011886298977,slsqp
confirmation,600951,8,71,93.92078492786216,94.49785281104141,92.96609416920357,93.73510241892969,slsqp
confirmation,600957,8,71,93.86556890611277,94.39090693458822,93.0465107048073,93.7211194616078,slsqp
confirmation,600959,8,71,93.74553657494728,94.125383660549,93.2341422777941,93.68082283883265,slsqp
