phase_index,phase_fraction,generated_tip_x_mm,generated_tip_y_mm,generated_tip_z_mm,target_tip_x_mm,target_tip_y_mm,target_tip_z_mm,tip_error_mm,generated_wrist_x_mm,generated_wrist_y_mm,generated_wrist_z_mm,target_wrist_x_mm,target_wrist_y_mm,target_wrist_z_mm,wrist_error_mm,L6_mm
45,0.5921052631578947,-594.2458347592104,41.698752507866544,-421.4904569014954,-724.4842386286631,134.20073061564366,124.8157644703523,24.614228948914228,-311.96619541211317,-106.70102935762301,-74.11779432680125,-313.80770731005623,-101.38984222642415,24.088782275700016,40.444166124299656,246.8781780124193
46,0.6052631578947368,-566.598012781678,5.752890027166387,-456.7206226439506,-728.1984974719363,137.44771177345487,86.33299569293065,20.96378520567972,-311.78538466695073,-106.49754702312968,-79.91070815140598,-314.4311896523581,-102.10535300551633,15.102248549991963,38.619017060739836,246.93964175223206
47,0.618421052631579,-541.8512023495406,-30.32165684098078,-482.2999915689371,-731.5775752211837,140.66315663275688,47.78858238826541,16.038314650694673,-311.9001523607848,-106.05451650854236,-84.54860945522661,-315.01296118879134,-102.80732217205937,6.186695059358806,36.68012732972224,246.9986854561303
48,0.631578947368421,-520.6222239218297,-64.52077160354801,-499.6705465526693,-730.8678836554078,142.78241393598697,8.831867196098202,13.044438583680124,-312.317431733074,-105.34430535505857,-88.15114324106165,-315.1949023202471,-103.37359570135901,-1.8805323076239455,34.93995106385076,247.05261612267148
49,0.6447368421052632,-503.05702223383224,-95.48693865206627,-510.5481334222194,-729.9978055526922,144.8178544105893,-30.12222390505291,9.897497248794311,-313.02547157050145,-104.34071731641218,-90.83562555550199,-315.36548698023455,-103.93548486187389,-9.915724773096246,33.376422564272566,247.0988260676439
50,0.6578947368421053,-488.97647894652994,-122.49768285993372,-516.5997833124186,-725.2322965881593,144.81757126894396,-69.01258169464883,11.068712793652164,-313.99835638620505,-103.02220536753813,-92.7147449988057,-315.2602483056519,-104.39088749428184,-17.172861010283174,32.31361521949426,247.1349452686586
51,0.6710526315789473,-478.02247723184894,-145.3265647887369,-519.2533388167691,-720.3349658361194,144.70920041735707,-107.8804098737966,13.03531261890589,-315.20004668192854,-101.374914930158,-93.89524637302434,-315.1486047400589,-104.84309378284837,-24.404487674961285,31.688341896796164,247.15898397562947
52,0.6842105263157895,-469.7687286684207,-164.07484623082024,-519.6315233210324,-711.7905541106368,141.6103934789462,-146.12491686181096,16.325685643059828,-316.5879640983448,-99.39533694503483,-94.47714637564872,-314.85975863016245,-105.20686761249368,-30.930347271104644,31.787896055630213,247.1694568571225
53,0.6973684210526315,-463.7887639189473,-179.03112219930176,-518.5652770073457,-703.1184100497703,138.3615330659324,-184.31855669590604,19.39534411092142,-318.1161843079256,-97.09238640693532,-94.55316118997209,-314.56720762735506,-105.56754949132247,-37.4315509948097,32.378462281301275,247.16548096275807
54,0.7105263157894737,-459.6896458210871,-190.57616729162493,-516.6420126174037,-691.2328679814509,131.33773551697513,-221.23251734335852,21.61660671835866,-319.73828909733055,-94.48877101555793,-94.20813512648252,-314.1814515996636,-105.8504463005898,-43.31248005487701,33.64893580232057,247.14684126822414
55,0.7236842105263158,-457.12421602178574,-199.12807890167505,-514.2602338996038,-679.102828708563,123.91889851245668,-257.9617069952527,23.610777619825495,-321.4098931883449,-91.6215702653456,-93.51834681334851,-313.7935413710389,-106.12635723787895,-49.14377108045976,35.20777181745464,247.1140194441252
56,0.7368421052631579,-455.79266437637796,-205.1157728169369,-511.6770175981576,-664.4419781202072,112.41097457561462,-292.77831639023077,24.400668584348015,-323.09082027296955,-88.54200015495722,-92.55063821497035,-313.38333282572194,-106.3299568214167,-54.461254598211156,37.15578970659301,247.06818364101895
57,0.75,-455.4405130994843,-208.96949508126363,-509.0443354086915,-649.3098536618539,99.86432018647568,-326.9584645530418,25.105507287357117,-324.74687021137123,-85.31438568646792,-91.36136560485514,-312.98152932059975,-106.51407823763917,-59.66978598571623,39.08883912938942,247.01113938156536
58,0.7631578947368421,-455.85685075890734,-211.11994952894648,-506.4347611393335,-632.5190906573407,83.66187565718133,-358.89860069733277,25.612730214921577,-326.35110354622327,-82.01439694242626,-89.99521267005608,-312.6093071789617,-106.62964665066235,-64.49486262553131,41.00930336483529,246.9452439583552
59,0.7763157894736842,-456.87433519508534,-212.00049413157888,-503.8587089406146,-615.0403266856163,65.32593775549736,-389.1640460224757,26.792563141794833,-327.88457340206503,-78.72662153726795,-88.4839349567585,-312.28181611797714,-106.69385081025656,-69.11585429013316,42.60907906420173,246.87328891335824
60,0.7894736842105263,-458.3709741116458,-212.0489570735374,-501.2755146148911,-596.7859847903193,44.58493003767539,-417.54162593747907,29.28471359308623,-329.3364571226837,-75.54154600958873,-86.84512235132944,-312.0047500422843,-106.70015246255961,-73.50678261347284,43.7051603527402,246.79835709023658
61,0.8026315789473685,-460.27274707907554,-211.70700376496174,-498.600289587122,-577.8130037763931,20.33387670835659,-442.4299493364824,33.84722601052214,-330.7035763933692,-72.55200352055397,-85.08107351967966,-311.85872826994387,-106.58008707097797,-77.5608855712079,44.133956962901564,246.7236622877315
62,0.8157894736842105,-462.5555958087543,-211.4158695972125,-495.70797372320766,-558.604527122426,-5.899576210667181,-464.98303364173574,39.66908093510583,-331.9893394772713,-69.84912075792995,-83.17787590648263,-311.82245586516933,-106.35444340682017,-81.40880010401462,43.454525029234745,246.652380607343
63,0.8289473684210527,-465.24512944565157,-211.6078677072761,-492.4355693673512,-539.2463793401946,-34.51793229230056,-484.43138104963265,46.150272970514266,-333.2021867986059,-67.51777329494898,-81.10478092918288,-311.95135307748274,-105.9673726848116,-84.99064499307616,41.28046311355856,246.58748311630518
64,0.8421052631578947,-468.4125816838385,-212.69354013710245,-488.58322710047025,-520.0329204605205,-65.55967054415295,-500.0354839844608,52.234402116424505,-334.3536659137018,-65.63155136830493,-78.81396049308273,-312.34118610460655,-105.31063549373799,-88.24120623878994,37.035530032253256,246.53157940451533
65,0.8552631578947368,-472.1661308574488,-215.04475313269643,-483.9147094165807,-501.357483157062,-98.74716905207603,-511.27857508611464,56.557878309220136,-335.4562979228462,-64.24726864453869,-76.24073068778566,-313.14289997704424,-104.18157128528419,-91.06243760803788,30.16674003971392,246.48678100306884
66,0.868421052631579,-476.63759858155504,-218.97451865303208,-478.1577996570435,-483.6404211488461,-133.6183889362648,-517.892418269888,58.59644405563711,-336.52141627170573,-63.399140980930895,-73.304331411691,-314.5837396132592,-102.21975552204911,-93.28980639893615,20.8502579203271,246.45459248819216
67,0.881578947368421,-481.965601285757,-224.714902157862,-471.00542906532485,-467.541928108475,-169.64421747238978,-519.2344778554104,61.04603932453099,-337.5571478794541,-63.09294490729836,-69.90935293110758,-317.1570379576371,-98.53777143041891,-94.50545253432873,12.345789989400163,246.43583648563026
68,0.8947368421052632,-488.277138998399,-232.39506687449943,-462.1185678452404,-455.9044571886864,-204.61306520935898,-511.8938961669579,65.49143023057216,-338.5666480365303,-63.30074654003586,-65.94789566937787,-322.94969501754014,-88.80055100015254,-92.63188393013345,11.878676548441284,246.4306168129882
69,0.9078947368421053,-495.6700053127238,-242.02226929278845,-451.13208554590017,-466.66993615562365,-212.09623288108966,-490.7026803770178,42.377995481866286,-339.5465776722111,-63.95714489890085,-61.30253335536062,-333.7201536205841,-66.66929904640996,-80.07430719722063,21.420957022510972,246.43832176946748
70,0.9210526315789473,-504.1980146626308,-253.4693213047274,-437.6646289097759,-486.17739160275613,-229.83999921966054,-465.07508407819194,23.829545480912422,-340.4856242587131,-64.95831082632482,-55.8501274179048,-338.2308035209416,-63.23161426878651,-67.26580898099546,20.745831281393208,246.45766723728747
71,0.9342105263157895,-513.8598550706029,-266.4723743301289,-421.3329970788958,-503.2525049313227,-252.20017411832146,-439.15778056838235,17.131232937103192,-341.3626597606118,-66.16525650284925,-49.4665354395932,-340.38151113579545,-64.84731046408392,-56.454641632346025,20.69357472832362,246.48677693726265
72,0.9473684210526315,-524.5907808907367,-280.64240544430476,-401.7706540733242,-519.193914015479,-273.5159214089773,-411.60907461026557,21.211761991017106,-342.1440155427808,-67.41251509402593,-42.03230742504633,-341.75105102049633,-66.78523570654079,-45.77117763879278,24.55080737964957,246.52329502144522
73,0.9605263157894737,-536.2551650644664,-295.49204417155653,-378.64927846893903,-534.3533596081762,-293.0709027263846,-382.419075281735,29.676906807994335,-342.77951486069225,-68.52255069921874,-33.43959775208078,-342.6759006404924,-68.34156628210853,-34.840585742271244,30.228080051696697,246.56452431745015
74,0.9736842105263158,-548.638085201176,-310.47627825524205,-351.7020034819926,-548.6771378026322,-310.52072406660767,-351.60754685858876,38.49635995122848,-343.19750274594463,-69.32475245583532,-23.600696650653003,-343.1978159335997,-69.32582469793522,-23.56669724036307,36.09369883723309,246.60758207334553
75,0.9868421052631579,-561.4361419192986,-325.04176156569827,-320.7473121516358,-561.9833991014622,-325.62402360145745,-319.25117610195133,46.48844065234258,-343.3001385044813,-69.676140447887,-12.458637862043846,-343.28566961911815,-69.66774830715917,-11.926594033842221,41.420351540401796,246.6495640756531
